,ID,lat,lon,block_fips,block_pop_2015,county_fips,county_name,state_code,state_fips,state_name,POP,GEONAME
0,0,42.2808256,-83.7430378,261614001001000,281.0,26161,Washtenaw,MI,26,Michigan,364709,"Washtenaw County, Michigan"
1,1,33.0198431,-96.6988856,480850320033009,6.0,48085,Collin,TX,48,Texas,939585,"Collin County, Texas"
2,2,40.7281575,-74.0776417,340170027001006,260.0,34017,Hudson,NJ,34,New Jersey,677983,"Hudson County, New Jersey"
3,3,39.739235799999996,-104.990251,80310020001015,4.0,08031,Denver,CO,08,Colorado,693060,"Denver County, Colorado"
4,4,25.7616798,-80.1917902,120860067132003,137.0,12086,Miami-Dade,FL,12,Florida,2712945,"Miami-Dade County, Florida"
5,5,29.7604267,-95.36980279999999,482011000003087,3.0,48201,Harris,TX,48,Texas,4589928,"Harris County, Texas"
6,6,37.338208200000004,-121.88632859999998,60855010004004,134.0,06085,Santa Clara,CA,06,California,1919402,"Santa Clara County, California"
7,7,40.440624799999995,-79.9958864,420030201005022,0.0,42003,Allegheny,PA,42,Pennsylvania,1225365,"Allegheny County, Pennsylvania"
8,8,43.6155825,-84.24721159999999,261112904001052,0.0,26111,Midland,MI,26,Michigan,83462,"Midland County, Michigan"
9,9,39.6172101,-104.95081409999999,80050056361016,200.0,08005,Arapahoe,CO,08,Colorado,637068,"Arapahoe County, Colorado"
10,10,39.006699299999994,-77.4291298,511076116011020,6.0,51107,Loudoun,VA,51,Virginia,385945,"Loudoun County, Virginia"
11,11,43.0116784,-88.2314813,551332027001019,109.0,55133,Waukesha,WI,55,Wisconsin,398424,"Waukesha County, Wisconsin"
12,12,34.0522342,-118.24368490000002,60372074001033,1.0,06037,Los Angeles,CA,06,California,10137915,"Los Angeles County, California"
13,13,37.354107899999995,-121.9552356,60855052022020,2.0,06085,Santa Clara,CA,06,California,1919402,"Santa Clara County, California"
14,14,38.804835499999996,-77.0469214,515102019001015,18.0,51510,Alexandria City,VA,51,Virginia,155810,"Alexandria city, Virginia"
15,15,34.0005691,-118.1597929,60375323031034,1.0,06037,Los Angeles,CA,06,California,10137915,"Los Angeles County, California"
16,16,32.715738,-117.1610838,60730053003011,4.0,06073,San Diego,CA,06,California,3317749,"San Diego County, California"
17,17,32.6400541,-117.0841955,60730127001000,771.0,06073,San Diego,CA,06,California,3317749,"San Diego County, California"
18,18,41.8781136,-87.62979820000002,170318391001104,0.0,17031,Cook,IL,17,Illinois,5203499,"Cook County, Illinois"
19,19,37.7749295,-122.4194155,60750201001001,7.0,06075,San Francisco,CA,06,California,870887,"San Francisco County, California"
20,20,30.267153000000004,-97.7430608,484530011001092,36.0,48453,Travis,TX,48,Texas,1199323,"Travis County, Texas"
21,21,26.100365399999998,-80.3997748,120110703181000,1334.0,12011,Broward,FL,12,Florida,1909632,"Broward County, Florida"
22,22,38.9071923,-77.03687070000002,110010053013007,0.0,11001,District of Columbia,DC,11,District of Columbia,681170,"District of Columbia, District of Columbia"
23,23,35.823483,-78.8255621,371830536071001,168.0,37183,Wake,NC,37,North Carolina,1046791,"Wake County, North Carolina"
24,24,41.911012299999996,-71.4418101,440070116003016,149.0,44007,Providence,RI,44,Rhode Island,633673,"Providence County, Rhode Island"
25,25,41.6053266,-81.45344920000002,390852008001008,588.0,39085,Lake,OH,39,Ohio,228614,"Lake County, Ohio"
26,26,41.817807,-88.17340209999998,170438416073021,109.0,17043,DuPage,IL,17,Illinois,929368,"DuPage County, Illinois"
27,27,47.4828776,-122.21706609999998,530330253022014,3.0,53033,King,WA,53,Washington,2149970,"King County, Washington"
28,28,42.732535,-84.55553470000002,260650067001013,0.0,26065,Ingham,MI,26,Michigan,288051,"Ingham County, Michigan"
29,29,42.127526700000004,-87.82895479999998,170318017022042,0.0,17031,Cook,IL,17,Illinois,5203499,"Cook County, Illinois"
30,30,34.07537620000001,-84.2940899,131210116163020,7.0,13121,Fulton,GA,13,Georgia,1023336,"Fulton County, Georgia"
31,31,32.991155,-117.27114809999999,60730173041000,3.0,06073,San Diego,CA,06,California,3317749,"San Diego County, California"
32,32,40.7127837,-74.00594129999998,360610031001021,0.0,36061,New York,NY,36,New York,1643734,"New York County, New York"
33,33,40.80675460000001,-74.1854209,340130152002004,87.0,34013,Essex,NJ,34,New Jersey,796914,"Essex County, New Jersey"
34,34,37.54826970000001,-121.98857190000001,60014419232037,10.0,06001,Alameda,CA,06,California,1647704,"Alameda County, California"
35,35,29.7857853,-95.82439559999999,481576731011028,8.0,48157,Fort Bend,TX,48,Texas,741237,"Fort Bend County, Texas"
36,36,34.0289259,-84.19857900000002,131210116253017,357.0,13121,Fulton,GA,13,Georgia,1023336,"Fulton County, Georgia"
37,37,25.9017472,-97.4974838,480610140012043,19.0,48061,Cameron,TX,48,Texas,422135,"Cameron County, Texas"
38,38,38.029305900000004,-78.4766781,515400010001039,9.0,51540,Charlottesville City,VA,51,Virginia,46912,"Charlottesville city, Virginia"
