,lat,lon,block_fips,block_pop_2015,county_fips,county_name,state_code,state_fips,state_name
0,42.2808256,-83.7430378,261614001001000,281.0,26161,Washtenaw,MI,26,Michigan
1,33.0198431,-96.6988856,480850320033009,6.0,48085,Collin,TX,48,Texas
2,40.7281575,-74.0776417,340170027001006,260.0,34017,Hudson,NJ,34,New Jersey
3,39.7392358,-104.990251,080310020001015,4.0,08031,Denver,CO,08,Colorado
4,25.7616798,-80.1917902,120860067132003,137.0,12086,Miami-Dade,FL,12,Florida
5,29.7604267,-95.3698028,482011000003087,3.0,48201,Harris,TX,48,Texas
6,37.3382082,-121.88632859999998,060855010004004,134.0,06085,Santa Clara,CA,06,California
7,40.4406248,-79.9958864,420030201005022,0.0,42003,Allegheny,PA,42,Pennsylvania
8,43.6155825,-84.24721159999999,261112904001052,0.0,26111,Midland,MI,26,Michigan
9,39.6172101,-104.9508141,080050056361016,200.0,08005,Arapahoe,CO,08,Colorado
10,39.0066993,-77.4291298,511076116011020,6.0,51107,Loudoun,VA,51,Virginia
11,43.0116784,-88.2314813,551332027001019,109.0,55133,Waukesha,WI,55,Wisconsin
12,34.0522342,-118.24368490000002,060372074001033,1.0,06037,Los Angeles,CA,06,California
13,37.3541079,-121.9552356,060855052022020,2.0,06085,Santa Clara,CA,06,California
14,38.8048355,-77.0469214,515102019001015,18.0,51510,Alexandria City,VA,51,Virginia
15,34.0005691,-118.1597929,060375323031034,1.0,06037,Los Angeles,CA,06,California
16,32.715738,-117.1610838,060730053003011,4.0,06073,San Diego,CA,06,California
17,32.6400541,-117.0841955,060730127001000,771.0,06073,San Diego,CA,06,California
18,41.8781136,-87.62979820000002,170318391001104,0.0,17031,Cook,IL,17,Illinois
19,37.7749295,-122.4194155,060750201001001,7.0,06075,San Francisco,CA,06,California
20,30.267153000000004,-97.7430608,484530011001092,36.0,48453,Travis,TX,48,Texas
21,26.1003654,-80.3997748,120110703181000,1334.0,12011,Broward,FL,12,Florida
22,38.9071923,-77.03687070000002,110010053013007,0.0,11001,District of Columbia,DC,11,District of Columbia
23,35.823483,-78.8255621,371830536071001,168.0,37183,Wake,NC,37,North Carolina
24,41.9110123,-71.4418101,440070116003016,149.0,44007,Providence,RI,44,Rhode Island
25,41.6053266,-81.45344920000002,390852008001008,588.0,39085,Lake,OH,39,Ohio
26,41.817807,-88.17340209999998,170438416073021,109.0,17043,DuPage,IL,17,Illinois
27,47.4828776,-122.21706609999998,530330253022014,3.0,53033,King,WA,53,Washington
28,42.732535,-84.55553470000002,260650067001013,0.0,26065,Ingham,MI,26,Michigan
29,42.1275267,-87.82895479999998,170318017022042,0.0,17031,Cook,IL,17,Illinois
30,34.07537620000001,-84.2940899,131210116163020,7.0,13121,Fulton,GA,13,Georgia
31,32.991155,-117.2711481,060730173041000,3.0,06073,San Diego,CA,06,California
32,40.7127837,-74.00594129999998,360610031001021,0.0,36061,New York,NY,36,New York
33,40.80675460000001,-74.1854209,340130152002004,87.0,34013,Essex,NJ,34,New Jersey
34,37.54826970000001,-121.9885719,060014419232037,10.0,06001,Alameda,CA,06,California
35,29.7857853,-95.8243956,481576731011028,8.0,48157,Fort Bend,TX,48,Texas
36,34.0289259,-84.19857900000002,131210116253017,357.0,13121,Fulton,GA,13,Georgia
37,25.9017472,-97.4974838,480610140012043,19.0,48061,Cameron,TX,48,Texas
38,38.0293059,-78.4766781,515400010001039,9.0,51540,Charlottesville City,VA,51,Virginia
39,40.4258686,-86.9080655,181570054002015,92.0,18157,Tippecanoe,IN,18,Indiana
40,39.2903848,-76.6121893,245100401001035,148.0,24510,Baltimore City,MD,24,Maryland
41,26.934224600000004,-80.09420870000002,120990002022035,0.0,12099,Palm Beach,FL,12,Florida
42,28.7588833,-81.3178446,121170208062009,7.0,12117,Seminole,FL,12,Florida
43,33.952602,-84.5499327,130670306023078,0.0,13067,Cobb,GA,13,Georgia
44,28.6611089,-81.36562420000001,121170218021030,12.0,12117,Seminole,FL,12,Florida
45,40.2142565,-77.0085876,420410114003014,0.0,42041,Cumberland,PA,42,Pennsylvania
46,38.440429,-122.7140548,060971520001036,0.0,06097,Sonoma,CA,06,California
47,32.814017699999994,-96.9488945,481130149022005,3.0,48113,Dallas,TX,48,Texas
48,42.36837,-83.3527097,261635587001000,42.0,26163,Wayne,MI,26,Michigan
49,42.65257929999999,-73.7562317,360010011001071,0.0,36001,Albany,NY,36,New York
50,26.1420358,-81.7948103,120210001022040,4.0,12021,Collier,FL,12,Florida
51,37.8043637,-122.27111370000002,060014029001033,7.0,06001,Alameda,CA,06,California
52,25.8575963,-80.2781057,120860006081015,232.0,12086,Miami-Dade,FL,12,Florida
53,38.9685112,-76.8620327,240338036062012,175.0,24033,Prince George's,MD,24,Maryland
54,38.6631083,-90.5770675,291892216281005,9.0,29189,St. Louis,MO,29,Missouri
55,25.8195424,-80.3553302,120860090345012,167.0,12086,Miami-Dade,FL,12,Florida
56,28.5383355,-81.3792365,120950189005085,10.0,12095,Orange,FL,12,Florida
57,39.1031182,-84.5120196,390610007003046,134.0,39061,Hamilton,OH,39,Ohio
58,33.8316745,-118.281693,060375435012006,377.0,06037,Los Angeles,CA,06,California
59,37.7396513,-121.4252227,060770054052005,1.0,06077,San Joaquin,CA,06,California
60,42.1584324,-71.1447732,250214151023007,73.0,25021,Norfolk,MA,25,Massachusetts
61,36.1699412,-115.13982959999998,320030007003033,14.0,32003,Clark,NV,32,Nevada
